name,address,city,postal_code,phone_number,email,birthdate,last_active,latitude,longitude,active
Devin Ayers,574 Rodriguez Flats,Marissaburgh,72518,302.579.1101,michael21@gmail.com,1945-04-29,1988-07-20 12:20:02,23.977517,6.821093,true
Danielle Chan,27787 Choi Crossroad,North Jennifer,26524,+1-491-109-3462x763,qthomas@morgan.com,1926-03-26,2001-11-01 12:22:21,-88.9259655,174.190847,true
Kelly Waters,0304 Howard Ridges Suite 477,Karenmouth,04478,+1-627-463-3864x228,courtneydixon@patel.biz,1952-04-08,1974-12-17 18:35:28,-62.7101895,147.328026,true
Kelly Murphy,0565 Vance Common Apt. 265,Murphyville,12413,(146)723-0321x69187,brendacole@duncan.com,1943-08-09,2000-09-30 12:51:24,-75.298845,82.959350,true
Mrs. Barbara Flynn,5022 Key Extension Suite 291,Scottburgh,46321,840-548-0843x9833,petersenemily@hotmail.com,1954-03-14,2009-10-04 14:55:50,45.9060425,160.760714,true
Jennifer Ortega,495 Patricia Bridge Suite 907,Murphyborough,79111,175.074.3616,ulowe@yahoo.com,2009-11-09,2001-04-21 23:34:54,47.3950135,176.226206,true
Glen Lozano,6116 Brian Underpass Suite 016,Lake Stevenberg,88989,570.056.6505,fernandezjames@hotmail.com,1937-08-07,1978-06-05 12:39:56,-60.337270,37.940523,true
Katherine Wilson,53042 Ashley Vista,Hayesport,14370,191.161.4472,chapmanstephen@taylor.com,2014-04-21,2004-12-29 14:55:30,71.939370,-46.476537,false
Adriana Perez,014 Timothy Unions,Williamsshire,97518,(731)298-7437,hernandezmichael@mack-aguilar.info,1933-12-25,2015-12-09 13:31:30,-36.649878,49.739236,false
Shannon Jensen,79660 Todd Spring,North Scott,79668,187-221-2068,harrisoncynthia@yahoo.com,1934-08-29,2018-07-13 02:21:52,3.409360,141.331229,false
Deanna Thomas,3838 Andrea Isle Suite 909,East Judith,95803,+1-041-184-9457x74202,anna27@gmail.com,1906-06-06,2001-04-11 04:02:16,22.9513535,-143.278174,true
James Edwards,30691 Darin Junctions Apt. 080,Hernandezfurt,70843,7084186051,glennpowell@miller-white.com,1974-02-21,1986-08-30 23:40:46,-2.802442,2.334704,false
Nancy Castillo,088 Wallace Brooks,Port Ashleyside,34143,+1-215-694-8142x74874,felicia61@hotmail.com,1927-03-26,1985-02-15 22:19:06,22.108049,9.360949,false
Joseph Molina,8523 Megan Viaduct,Macdonaldberg,96446,8073772453,tylerblack@peters.com,1981-09-04,2000-12-09 03:56:38,61.9235055,-164.956316,false
Emily Burgess,58879 Johnathan Plain,West Sharonberg,11567,772.832.6096x02101,ryanjennifer@yahoo.com,2008-04-26,2019-05-07 20:58:57,54.477012,63.339701,true
John Sanchez,91491 Nichols Oval,Donnastad,36804,(585)333-5702x446,knightsean@gonzalez.info,1912-12-12,2010-03-15 06:28:57,59.0498335,169.810432,false
Christopher Chen,69999 Jackson Crossing,Huntermouth,80222,031-110-3719x87413,maria11@hernandez.com,1960-08-07,1978-09-08 04:03:50,31.4352265,-40.969801,false
